no,nama,npsn,nama singkat,kode_pos,telepon,fax,email,alamat,kota,provinsi,Negara,lintang,bujur,akreditasi,Status ,rank_qs,rank_country
3761,Sekolah Tinggi Agama Hindu Negeri Jawa Dwipa Klaten Jawa Tengah,243010,STAHN Japa,NULL,(0272) 3393936,NULL,info@stahnjapa.ac.id,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3762,Institut Islam Nahdlatul Ulama Temanggung,212104,INISNU TEMANGGUNG,NULL,0293 4962963,NULL,inisnu@gmail.com,NULL,Temanggung,Jawa Tengah,Indonesia,-7.331093,110.2021337,Baik,swasta,NULL,NULL
3763,STAI Al-Hamidiyah Bangkalan,213201,STAMIDIYA,69175,85257756064,3181996633,info@alhamidiyah.ac.id,Jl. Raya KH. Zarkasyi No. 74 Sen-Asen Konang   69175 Bangkalan,Bangkalan,Jawa Timur,Indonesia,-7.0683488,113.100264,Baik,swasta,NULL,NULL
3764,Akademi Manajemen Banda Aceh,134001,AMBA,24475,6417010410,6417010410,ambatamiang@yahoo.com,Jl. Medan Banda Aceh KM.120 Bukit rata kuala simpang kabupaten Aceh Tamiang Prop,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3765,Sekolah Tinggi Ilmu Agama Buddha Jinarakkhita,293005,STIAB Jinarakkhita,35221,82139114444,62721781263,kampus@stiab-jinarakkhita.ac.id,"Jl. Raya Suban No. 86, Kel. Pidada, Kec. Panjang Bandar Lampung 35241",Lampung Tengah,Lampung,Indonesia,-4.8408916,105.7694445,Baik Sekali,swasta,NULL,NULL
3766,STKIP Siliwangi,43041,STKIP Siliwangi,40526,022 6658680,022 6629913,stkipsiliwangi4341@yahoo.co.id,Jl Terusan Jenderal Sudirman - Cimahi,Cimahi,Jawa Barat,Indonesia,-6.887477,107.52966,NULL,swasta,NULL,NULL
3767,Sekolah Tinggi Ilmu Ushuluddin Masjid Al Akbar Surabaya Jawa Timur,213623,STIU,NULL,0318289755/8289756,318286896,staialakbarsby@gmail.com,"Jalan Masjid Al Akbar Kabupaten Surabaya, Jawa timur",Nunukan,Kalimantan Utara,Indonesia,20.840152,114.7992621,NULL,swasta,NULL,NULL
3768,Universitas Karya Husada Semarang,61064,Unkaha,NULL,024 6724581,024 6724581,info@unkaha.ac.id,NULL,Semarang,Jawa Tengah,Indonesia,-7.03097,110.45836,Baik,swasta,NULL,NULL
3769,Akademi Keperawatan Dr. Soedono Madiun Prov. Jawa Timur,344047,Akper Dr.Soedono Mad,63117,351463310,351491702,akpermadiun@gmail.com, Jl.Imam Bonjol No.1 Madiun,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3770,STAI Azzakiyah Ujungberung Bandung,213113,NULL,     ,NULL,NULL,NULL,-,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3771,STMIK PGRI Tangerang,43242,NULL,15100,215523052,2155795777,stmik@pgri.id,Jalan Perintis Kemerdekaan II Cikokol,Tangerang,Banten,Indonesia,-6.1964568,106.6323523,Baik,swasta,NULL,NULL
3772,Sekolah Tinggi Ilmu Ekonomi Y P Kampus,13076,NULL,22716,6.34E+12,63422896, ,Jalan St Soripada Mulia 64 A Padangsidimpuan Utara,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3773,Sekolah Tinggi Ilmu Al-Qur'an Ash-Shiddiq,213546,STIQ ASH-SHIDDIQ,20362,NULL,NULL,NULL,"Jalan Hidayatullah, DUsun II, Desa Bandar Labuhan, Kecamatan Tanjung Morawa",Deli Serdang,Sumatera Utara,Indonesia,3.4963299,98.7703943,NULL,swasta,NULL,NULL
3774,Akademi Pertanian Hkti Banyumas,64011,NULL,53191,8156974743, ,aktan_hkti@yahoo.com,Jalan Raya Purwokerto Km 12 Kalibagor,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3775,Poltekkes Kemenkes Manado,405025,Polkesdo,95263,0431833773; 833774,431834310,direktorat@poltekkesmanado.ac.id,Jl. R. W. Mongisidi Malalayang II Manado,Manado,Sulawesi Utara,Indonesia,1.457711,124.807187,B,swasta,NULL,NULL
3776,Akademi Fisioterapi ST Lukas Tomohon,164025,NULL,0,431356774, , akfis.lukas@yahoo.com, Tomohon,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3777,Sekolah Tinggi Ilmu Ekonomi Taman Siswa,33086,NULL,10620,021 4265630,021 42884122,stietamsisjakarta@yahoo.com,"Jalan Garuda No 44, Kemayoran ",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3778,Akademi Pimpinan Perusahaan,434004,APP,12630,217270215,217271847,akademik@app-jakarta.ac.id,Jl. Timbul No. 34 Kelurahan Cipedak Kecamatan Jagakarsa Jakarta Selatan,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3779,Akademi Teknik Industri Makassar,434005,ATIM,0,411449609,411449867,tika_mks@yahoo.com,Jl. Sunu No. 220 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3780,Politeknik Perikanan Negeri Tual,5022,Polikant Tual,97612,91621377,91621377, sekretariat@polikant.ac.id,Jalan Langgur-Sathean Km. 6,Maluku Tenggara,Maluku,Indonesia,-5.7149585,132.7463317,Baik Sekali,negeri,NULL,NULL
3781,Universitas Sulbar Manarang,91079,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
3782,STAI Alma Ata Yogyakarta,213189,STIA Alma Ata Yogyak,55011,(0274) 4342 288 (027,(0274) 434 2269,stia@almaata.ac.id,Jl. Ringroad Barat Daya No. 01 Tamantirto Yogyakarta,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3783,Akademi Keperawatan Gunungsitoli Pemerintah Kabupaten Nias,344017,AKPER Gunungsitoli P,22815,(0639) 7000285 ,(0639) 7000285 ,upt.akper.gunungsitoli@gmail.comm,Jl. Iraonogeba  Kota Gunungsitoli,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3784,Sekolah Tinggi Agama Katolik Negeri Pontianak,263001,STAKatN Pontianak,-    ,(0561) 6710424,NULL,admin@stakatnpontianak.ac.id,"Jl. Parit Haji Muksin 2, KM 2 Kubu Raya",Kubu Raya,Kalimantan Barat,Indonesia,-0.1043808,109.3628561,Baik,swasta,NULL,NULL
3785,Sekolah Tinggi Teologi Inalta,233089,NULL,12330,2127934798, , stt_inalta@yahoo.com," Jl. Rempoa Permai No. 1-2, Bintaro, Pesanggrahan, Jakarta Selatan.",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3786,Sekolah Tinggi Teologi Agape Manado,233298,NULL,95110,85240556091, ,sttagapemanado@gmail.com,"Gedung Percetakan Negara, Jl. Lumimuut No. 2 Tikala Manado",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3787,Akademi Keperawatan Sumber Waras,34218,AKPER SUMBER WARAS,11440, 0215682011 ext 146,215697453,info@akpersumberwaras.ac.id, Jl .Kyai Tapa Grogol ,Wakatobi,Sulawesi Tenggara,Indonesia,-6.1881116,123.3915148,NULL,swasta,NULL,NULL
3788,Universitas Muhammadiyah Jember,71032,Unmuh Jember,68121,(0331) 336728,(0331) 337957,kantorpusat@unmuhjember.ac.id,Jalan Karimata No 49 ,Jember,Jawa Timur,Indonesia,-8.174982,113.71714,Baik Sekali,swasta,NULL,NULL
3789,STKIP Sera,43354,STKIP SERA,NULL,215542939,2155774334,"joko@stkipsera.ac.id, stkip.sera04@gmail.com",Jl. MH Thamrin Komplek Mahkota Mas Blok E 28-30,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3790,Universitas Pradita,31067,Universitas Pradita,15810,(021) 55689999,NULL,info@pradita.ac.id,"Scienta Busines Park, Jl. gading Serpong Boulevard No.1 Curug Tangerang, Kelapa Dua, Tangerang Banten 15810",Tangerang,Banten,Indonesia,-6.2599508,106.6182496,Baik,swasta,NULL,NULL
3791,Sekolah Tinggi Ilmu Syari`ah Miftahul Ulum Lumajang,213440,STISMU Lumajang,67355,0334 882900,0334 882900,stismu156@gmail.com,Jl. Raya Banyuputih Kidul Po. Box. 101 Kecamatan Jatiroto KabupatenLumajang,Lumajang,Jawa Timur,Indonesia,-8.1092224,113.2786576,Baik Sekali,swasta,NULL,NULL
3792,Universitas Brawijaya,1019,UB,65145,341551611,341565420,rektorat@ub.ac.id,Jalan Veteran ,Malang,Jawa Timur,Indonesia,-7.9564022,112.6171699,Unggul,negeri,801,9
3793,"STAI Babunnajah Pandeglang, Banten",213159,STAI Babunnajah,42262,83813451618,253501675,staibabunnajah@gmail.com,"Jl. Eks Stasiun Kereta Api Kp. Benteng Cimanying 
Menes Pandeglang Banten
",Pandeglang,Banten,Indonesia,-6.3827316,105.9147692,Baik,swasta,NULL,NULL
3794,Institut Teknologi dan Bisnis Arungpalakka,92031,ITB Arungpalakka,NULL,82258079671,NULL,itbapbone@gmail.com,NULL,Bone,Sulawesi Selatan,Indonesia,-4.3480971,120.1175891,Baik,swasta,NULL,NULL
3795,Universitas Islam Lamongan,71067,UNISLA,62211,"0322324706, 322158","0322324706, 324707",info@unisla.ac.id,Jalan Veteran 53A Lamongan Jawa Timur ,Lamongan,Jawa Timur,Indonesia,-7.1224094,112.4223971,Baik Sekali,swasta,NULL,NULL
3796,Politeknik Seni Yogyakarta,55006,Poliseni,55581,2744464892,2744464892,poliseni_yogya@yahoo.co.id,Klidon Sukoharjo Ngaglik Sleman,Sleman,Daerah Istimewa Yogyakarta,Indonesia,-7.7016334,110.4288178,NULL,swasta,NULL,NULL
3797,Akademi Keperawatan Teungku Fakinah Banda Aceh,134016,AKPER TEUNGKU FAKINA,23239,"065146245, 46243",65146243,akper_fakinah@yahoo.com ; akperfakinah@gmail.com,Jalan Jenderal Sudirman No 27-29 Banda Aceh,Banda Aceh,Aceh,Indonesia,5.532837,95.305033,Baik,swasta,NULL,NULL
3798,Sekolah Tinggi Bahasa Asing Prayoga,103013,STBA Prayoga Padang,25115,85830305317,75131717,info@stba-prayoga.ac.id,Jalan Veteran No 8 Padang Sumbar,Padang,Sumatera Barat,Indonesia,-0.9421689,100.3507967,Baik,swasta,NULL,NULL
3799,Universitas Al-Qolam Malang,211017,UQM,65174,341878661,NULL,info@alqolam.ac.id,"Jalan Raya Putat Lor RT. 11, RW. 02. Desa Putat Lor, Kecamatan Gondanglegi",Malang,Jawa Timur,Indonesia,-8.1520636,112.6438132,Baik,swasta,NULL,NULL
3800,Universitas Sains Dan Teknologi Jayapura,141002,USTJ,99351,0967581659; 582449,967582550,ustj.papua21@gmail.com,"Jl Raya Sentani Padang Bulan Abepura, Jayapura - Papua",Jayapura,Papua,Indonesia,-2.604485,140.657334,Baik,swasta,NULL,NULL
3801,Politeknik Meta Industri Cikarang,45043,MIP,17550,2189902403,2189902404,info@politeknikmeta.ac.id,"Jalan Inti I Blok C1 No. 7, Lippo Cikarang, Cikarang Bekasi",Bekasi,Jawa Barat,Indonesia,-6.3339064,107.1333839,Baik,swasta,NULL,NULL
3802,Politeknik Malinau,115009,NULL,12345,5532022085,5532022085,poltek_malinau@yahoo.com,Malinau ,Malinau,Kalimantan Utara,Indonesia,3.6100691,116.6236457,Baik,swasta,NULL,NULL
3803,Sekolah Tinggi Ilmu Maritim Ami,33138,"STIMar AMI""",13210,214754729,2147861144,info@stimar.ac.id,"Jl Pacuan Kuda No 1-5 Pulomas, Jakarta Timur",Administrasi Jakarta Timur,DKI Jakarta,Indonesia,-6.173884,106.8878904,Baik,swasta,NULL,NULL
3804,Sekolah Tinggi Bahasa Asing Cakrawala Nusantara,153008,STIBA CNK,85361,3808586177,0380  8586177,stiba_cnkupang@yahoo.com,"Jalan Bunga Jati No 88 Oesapa, Kelapa Lima",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3805,Sekolah Tinggi Teknologi Jawa Barat,43113,STT Jabar,40124,022 70383757,022 7566495,sttjabar_bdg@yahoo.com,"Jl Ciganitri Terusan Buah Batu, Desa Cipagalo, Kec. Bojongsoang",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3806,Sekolah Tinggi Ilmu Kesehatan Panti Wilasa,63117,STIKES Panti Wilasa,NULL,(024)3561513,(024)3561513,info@stikespantiwilasa.ac.id,NULL,Badung,Bali,Indonesia,-9.9705157,115.4593859,NULL,swasta,NULL,NULL
3807,STIKES Wijaya Husada Bogor,43270,NULL,16610,2518327396, ,wijayahusada@gmail.com,Jl Raya Sindang Barang KM 86 ,Bekasi,Jawa Barat,Indonesia,-6.3215283,107.1244241,Baik Sekali,swasta,NULL,NULL
3808,Sekolah Tinggi Ilmu Ekonomi Miftahul Huda,43088,STIE Miftahul Huda S,41254,81312360839,NULL,mail@stiemifdasubang.ac.id,Jalan Rancasari Dalam No B-33 Pamanukan,Bandung,Jawa Barat,Indonesia,-7.2088527,107.659093,Baik,swasta,NULL,NULL
3809,Akademi Kebidanan Ar-Rahma ,74096,AKBID AR RAHMA,67155,343857067,343857067,mail@akbidarrahma.ac.id,Jalan Raya Carat Gempol ,Bojonegoro,Jawa Timur,Indonesia,-7.3291709,111.6972486,Baik,swasta,NULL,NULL
3810,Akademi Keperawatan Purna Bhakti Husada,104104,NULL,27213,(0752) 574121,(0752) 574121,akperpbh@rocketmail.com,Jl Dt Bandaro Nan Kuning Kuru Rajo Lima Kaum,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3811,Sekolah Tinggi Ilmu Kehutanan Pante Kulu,133005,STIK Pante Kulu,23111,81263286140,NULL,official@stikpantekulu.ac.id,Jalan Teuku Nyak Arief Darussalam,Aceh Besar,Aceh,Indonesia,5.57105,95.37715,Baik,swasta,NULL,NULL
3812,Akademi Perkeretaapian Indonesia Madiun,424007,NULL,63129,62351474777,62351464788,kontak@api.ac.id,"Jl. Tirta Raya, Kota Madiun, Jawa Timur",Madiun,Jawa Timur,Indonesia,-7.63694,111.500331,NULL,swasta,NULL,NULL
3813,STIKES Muhammadiyah Tasikmalaya,43222,stikes mutas,46196,0265 2350982,2652350982,stikesmutas@yahoo.com,Jalan Tamansari Gobras ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3814,Akademi Analis Kesehatan Unmuh Surabaya,74037,NULL,60113,031 3890175,031 3890175,unmuhsby@indonet.id,Jalan Sutorejo No 59 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3815,STIKES Pamenang,73180,STIKES PAMENANG,NULL,(0354) 399840,NULL,stikespamenang@gmail.com,NULL,Kediri,Jawa Timur,Indonesia,-7.7659948,112.1575347,Baik,swasta,NULL,NULL
3816,Institut Bio Scientia Internasional Indonesia,32016,i3L,13210,2129567899,2129617296,operations@i3l.ac.id,Jl. Pulomas Barat Kav 88,Administrasi Jakarta Timur,DKI Jakarta,Indonesia,-6.179152,106.878331,B,swasta,NULL,NULL
3817,Akademi Kebidanan Bunga Bangsaku Bangka,24122,AKBID BUNGA BANGSAKU,33146,81,7174256437,akbidbbb@gmail.com,NULL,Ogan Komering Ilir,Sumatera Selatan,Indonesia,-3.8632515,104.9254613,Baik,swasta,NULL,NULL
3818,Akademi Kebidanan Annisa Jaya,44241,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3819,Sekolah Tinggi Ilmu Budaya Islam Syekh Jangkung Pati ,213561,STIBI Syekh Jangkung,59171,NULL,NULL,stibisyekhjangkung@gmail.com,"Jalan Kayen Sukolilo KM.01 Desa Kayen, Kecamatan Kayen, Kabupaten Pati, Provinsi Jawa Tengah",Pati,Jawa Tengah,Indonesia,-6.8900006,110.9847021,NULL,swasta,NULL,NULL
3820,Sekolah Tinggi Ekonomi Islam Fitrah Insani,213781,STEI FITRAH INSANI,50552,NULL,NULL,steifithrahinsani01@gmail.com,"Jalan Raya Gadobangkong Nomor 91 RT 002 RW 001, Desa Gadobangkong, Kecamatan Ngamprah",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3821,Politeknik Negeri Ketapang,5041,Politap,78851,5343030686,NULL,humas@politap.ac.id,"Jalan Rangge Sentap, Desa Dalong, Kecamatan Delta Pawan",Ketapang,Kalimantan Barat,Indonesia,-1.817466,109.99091,Baik,negeri,NULL,NULL
3822,Akademi Keperawatan Kerta Cendekia Sidoarjo,74052,AKPER Kerta Cendekia,61232,318961496,318961497,akper.kertacendekia@gmail.com,Jl Lingkar Timur Rangkah Kidul ,Sidoarjo,Jawa Timur,Indonesia,-7.46296,112.735077,NULL,swasta,NULL,NULL
3823,"STAI Darussalam Martapura, Kalimantan Selatan",213406,STAI Darussalam ,70613,511422034,5114721307,stai_darussalam@yahoo.co.id,Komplek PP Darussalam Jl. Perwira  Martapura,Banjar,Kalimantan Selatan,Indonesia,-3.418275,114.852232,NULL,swasta,NULL,NULL
3824,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Palopo,93031,STIE Muhammadiyah Pa,91922,0471 327429,0471 327429,institusi@stiem.ac.id / stiem_plp@yahoo.co.id ,Jalan Jend Sudirman KM 03 Binturu Kota Palopo,Palopo,Sulawesi Selatan,Indonesia,-3.019896,120.2087321,NULL,swasta,NULL,NULL
3825,Poltekkes Kemenkes Palangkaraya,405023,Polkesraya,73111,5363221768,5363221768,direktorat@polkesraya.ac.id, Jalan George Obos No. 30 / 32 ,Palangkaraya,Kalimantan Tengah,Indonesia,-2.219627,113.910968,B,swasta,NULL,NULL
3826,Sekolah Tinggi Alkitab Jember,233024,STAJ,68101,331332842,NULL, stajember@rocketmail.com, Jl. Letjen Soeprapto Gg. VI/85 Jember Jatim,Bogor,Jawa Barat,Indonesia,-6.5892497,107.2001717,NULL,swasta,NULL,NULL
3827,Akademi Komunitas Darussalam Blokagung,76006,AKD BLOKAGUNG,NULL,81336492029,NULL,info@akd.ac.id,NULL,Banyuwangi,Jawa Timur,Indonesia,-8.4497898,114.0988326,Baik,swasta,NULL,NULL
3828,Institut Agama Islam K.H. Sufyan Tsauri Majenang,212157,NULL,53257,NULL,NULL,NULL,"Jalan KH. Sufyan Tsauri Desa Cibeunying, Kecamatan Majenang",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3829,Universitas Panca Marga,71038,UPM,67271,+62 335 422715,+62 335 427923,baak@upm.ac.id,Jl Yos Sudarso Pabean Dringu ,Probolinggo,Jawa Timur,Indonesia,-7.7612662,113.2370385,Baik,swasta,NULL,NULL
3830,STT Institut Injil Indonesia Batu (I-3),233080,NULL,65312,341591283,341597974, i3batu@yahoo.co.id," Jalan Trunojoyo No.12
Kota Wisata Batu-Jawa Timur",NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3831,Universitas Dr. Djar Wattiheluw,121026,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
3832,Politeknik Pekerjaan Umum,525001,Politeknik PU,NULL,(024)7472848,(024)7472848,akademik@politeknikpu.ac.id,NULL,Semarang,Jawa Tengah,Indonesia,-7.056172,110.4422666,Baik,swasta,NULL,NULL
3833,Sekolah Tinggi Teologi SAAT,233028,STT SAAT,65151,341559400,341559402, info@seabs.ac.id," Jalan Bukit Hermon No. 1, Tidar Atas, Malang 65151, Jawa Timur.",Malang,Jawa Timur,Indonesia,-7.956529,112.596519,B,swasta,NULL,NULL
3834,Sekolah Tinggi Teologi Injili Indonesia Manado,233060,NULL,0,85341186279, , angsatanamal@gmail.com, ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3835,Universitas Nahdlatul Ulama Sidoarjo,71082,UNUSIDA,61218,(031)8079900/8949736, ,unu@unusida.ac.id,Jalan Monginsidi Dalam Kav. DPR Sidoklumpuk Sidoarjo,Sidoarjo,Jawa Timur,Indonesia,-7.463394,112.737483,Baik Sekali,swasta,NULL,NULL
3836,STAI As`adiyah Sengkang Wajo,213337,NULL,90911,485324602,48521709, muh67tar@yahoo.co.id,JL. VETERAN NO 46 SENGKANG,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3837,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Samarinda,113011,NULL,75124,541743459,541743459, stie_muammadiyah@yahoo.co.id,Jalan Ir H Juanda No 15 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3838,Akademi Keperawatan Dirgahayu Samarinda,114043,Akper Dirgahayu,75122,541748335,541748335,akperdirgahayu@yahoo.co.id,Jalan Pasundan No. 21,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3839,STIT Uluwiyah Mojosari Mojokerto,213276,STIT ULUWIYAH MOJOSA,61382,321592783,321592783,info@uluwiyah.ac.id,JL. RAYA MOJOSARI MOJOKERTO KM.4 MOJOKERTO JAWA TIMUR INDONESIA,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3840,Sekolah Tinggi Ilmu Administrasi Sandikta,43214,STIA Sandikta,17414,218466569,2184972414,stiasandikta@gmail.com,Jalan Hankam No 208 Jatirahayu Pondok Gede,Bekasi,Jawa Barat,Indonesia,-6.3000052,106.9236915,Baik,swasta,NULL,NULL
3841,Institut Agama Islam Lukman Edy,212123,IAILe,NULL,NULL,NULL,iailepku@gmail.com,NULL,Pekanbaru,Riau,Indonesia,0.4844768,101.5273137,B,swasta,NULL,NULL
3842,Universitas Muhammadiyah Buton,91032,UM Buton,93712,0402 2827038,0402 2827038,rektorat@umbuton.ac.id,"Jalan Betoambari No 36, Lanto, Batupoara",Bau Bau,Sulawesi Tenggara,Indonesia,-5.463153,122.59941,Baik Sekali,swasta,NULL,NULL
3843,Sekolah Tinggi Teknologi Dirgantara Makassar,93105,NULL,90222,4115778421,4115778421,NULL,Jalan Poros Makassar Maros 22 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3844,Universitas Islam Nusantara,41003,Uninus,40286,(022)7509656,(022)7509656,info@uninus.ac.id,Jalan Soekarno-Hatta No. 530,Bandung,Jawa Barat,Indonesia,-6.9453599,107.6445115,Baik Sekali,swasta,NULL,NULL
3845,STIKES Panca Atma Jaya,83086,NULL,1234,0366 21566,0366 23517,stikespaj@gmail.com,Jl. Ngurah Rai No. 27 Semarapura,Klungkung,Bali,Indonesia,-8.525554,115.402257,NULL,swasta,NULL,NULL
3846,Universitas La Tansa Mashiro,41117,UNILAM,NULL,0252 207163,0252 206794,admin@unilam.ac.id,NULL,Lebak,Banten,Indonesia,-6.3444886,106.2523173,Baik,swasta,NULL,NULL
3847,Akademi Angkatan Udara (AAU),474002,NULL,0, , , , ,Sleman,Daerah Istimewa Yogyakarta,Indonesia,-7.7927165,110.4356338,Unggul,swasta,NULL,NULL
3848,Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,63070,STIKES DUTA GAMA KLA,57465,272332362,272332363,dutagama_klaten@yahoo.com,"Jl. Solo - Jogja KM.5 Ngaran, Mlese, Ceper, Klaten",Klaten,Jawa Tengah,Indonesia,-7.6861178,110.6385899,Baik,swasta,NULL,NULL
3849,Sekolah Tinggi Agama Kristen Mesias Sorong,233074,STAK MESIAS SORONG,0,81344717268, , stakmesiassorong@gmail.com, ,Toli Toli,Sulawesi Tengah,Indonesia,1.9125048,120.9745227,NULL,swasta,NULL,NULL
3850,STMIK AKI Pati,63054,STMIK AKI,59114,295382087,295382344,stmik.aki06@gmail.com,Jalan Kamandowo No 13 ,Pati,Jawa Tengah,Indonesia,-6.753866,111.036807,Baik,swasta,NULL,NULL
3851,STT YESYURUN ARASTAMAR SERITI LUWU,233228,STT YA ,0,82194945040, ,yesyurunarastamar@gmail.com, ,Luwu,Sulawesi Selatan,Indonesia,-2.8357379,120.1878968,Baik,swasta,NULL,NULL
3852,Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo,63130,SPP,NULL,2753140576,2753140576,info@spp.ac.id,NULL,Purworejo,Jawa Tengah,Indonesia,-7.7247977,109.9557371,Baik Sekali,swasta,NULL,NULL
3853,Akademi Akuntansi Lampung,24010,NULL,35142,721703470,721703480,NULL,Jalan Pelita I No 24-b Labuhan Ratu,NULL,NULL,Indonesia,0,0,B,swasta,NULL,NULL
3854,Universitas Satyagama,31031,UGAMA,11730,(021) 545237778,(021) 54391325,info@satyagama.ac.id,Jalan Kamal Raya No 2-A Cengkareng,Administrasi Jakarta Barat,DKI Jakarta,Indonesia,-6.143268,106.730983,Baik,swasta,NULL,NULL
3855,Akademi Kebidanan Medica Obgin,44224,Akademi Kebidanan Me,40391,73280746,73280746,medicaobgin@gmail.com,Jl. Raya Lembang No. 110,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3856,Universitas Tompotika Luwuk,161009,UNTIKA Luwuk ,94715,461324027,461324027,untika.luwuk67@gmail.com,Jalan Dewi Sartika No 67 Luwuk,Banggai,Sulawesi Tengah,Indonesia,-0.9587484,122.7880874,Baik,swasta,NULL,NULL
3857,Sekolah Tinggi Ilmu Syariah Haji  Abdul Rasyid Lombok Tengah,213609,STIS HARSYI,83581,NULL,NULL,NULL,Jl. Al Barokah Penangsak Desa Sengkerang Praya Timur Kabupaten Lombok Tengah ,Lombok Tengah,Nusa Tenggara Barat,Indonesia,-8.7730639,116.3638245,Baik,swasta,NULL,NULL
3858,Sekolah Tinggi Ilmu Administrasi Malang,73023,STIA MALANG,65144,341553401,341562768,info@stia-malang.ac.id,Jalan Baiduri Bulan No 1 ,Kaimana,Papua Barat,Indonesia,-4.3234486,134.6415148,Baik,swasta,NULL,NULL
3859,Sekolah Tinggi Bahasa Asing JIA,43131,STBA JIA,17113,218822727,218822727,info.mail@stba-jia.ac.id,Jl. Cut Muthia No. 30 KOTAMADYA BEKASI,Bekasi,Jawa Barat,Indonesia,-6.252233,107.012784,Baik,swasta,NULL,NULL
3860,STKIP Muhammadiyah Lumajang,73035,STKIP MUH. LUMAJANG,67315,334881984,NULL,stkipmuhlmj@gmail.com,Jalan Brantas No 7 ,Lumajang,Jawa Timur,Indonesia,-8.1317321,113.2312932,Baik,swasta,NULL,NULL
3861,Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,133014,STIP Harapan Bangsa,0,6517429628,65140127,psikologi.harapanbangsa@gmail.com,Jl Jendral Sudirman N0 27-29 ,Banda Aceh,Aceh,Indonesia,5.546864,95.308485,NULL,swasta,NULL,NULL
3862,AMIK Tomakaka ,94047,NULL,91511,42622085,42622085,NULL,Jalan Ir H Juanda No 7744 ,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
3863,Akademi Perikanan Qomaruddin,74020,NULL,0,NULL,NULL,NULL, ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
3864,STT Injili di Palembang,233313,NULL,NULL,81214596624,NULL,sttipal@gmail.com,NULL,Kepulauan Anambas,Kepulauan Riau,Indonesia,2.9640085,104.7853291,NULL,swasta,NULL,NULL
3865,Universitas Katolik Weetebula,151017,UNIKA WEETEBULA,NULL,81237963139,NULL,NULL,NULL,Sumba Barat Daya,Nusa Tenggara Timur,Indonesia,-9.4084197,119.3001938,Baik,swasta,NULL,NULL
3866,Universitas Abdul Azis Lamadjido,161028,UNAZLAM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,Indonesia,0,0,Baik,swasta,NULL,NULL
3867,STIKES Sebelas April Sumedang,43280,NULL,45323,261202911,261202911,stiksumedang@gmail.com,Jalan Anggrek Situ No 19 ,NULL,NULL,Indonesia,0,0,NULL,swasta,NULL,NULL
