campus_name,alamat,kota
Akademi Sekretaris Dan Manajemen Laksi-31,Jalan Bunga No 8-8A Matraman,Nan
Universitas Widyatama,Jalan Cikutra No. 204-A Bandung,Nan
Akademi Kebidanan Rizki Patya,Jl Perumnas Sako No 245 Kel Sialang,Nan
Akademi Kebidanan Saleha,"Jalan Krueng Jambo Ayee, Geuceu Komplek.",Banda Aceh
Sekolah Tinggi Ilmu Kesehatan Budi Kemuliaan,Nan,Nan
Akademi Keperawatan Totabuan Kotamobagu,Nan,Nan
Stit Ad-Da`Wah Rangkasbitung,Jl. Tb. Hasan Cimesir Rangkasbitung Lebak Banten,Lebak
Akademi Keperawatan Hkbp Balige,Jl.Gereja No.17 Balige Tobasa Sumatera Utara,Toba
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Amal Bakti,Nan,Nan
Politeknik Tri Mitra Karya Mandiri,Jalan Bypass Jomin No 69 Desa Jomin Barat Kec Kotabaru,Nan
Sekolah Tinggi Teologi Inti Bandung,,Bandung
Akademi Kebidanan Pelamonia Kesdam Viiwirabuana,Jln. Garuda No. 3Ad Makassar,Makassar
Sekolah Tinggi Ilmu Kesehatan Ahmad Dahlan Cirebon,Nan,Cirebon
Universitas Islam Negeri Raden Intan Lampung,"Jl. Letnan Kolonel H Jl. Endro Suratmin, Sukarame, Kec. Sukarame",Nan
Stt Krisba Batam,-,Nan
Universitas Maarif Hasyim Latif,"Jl. Ngelom Megare No.30, Ngelom, Taman",Sidoarjo
Sekolah Tinggi Ilmu Ekonomi Triguna,Jalan Siliwangi No 97,Nan
Sekolah Tinggi Ilmu Syariah (Stis) Al-Aziziyah Sabang,Jln.Sabang-Balohan Bay Pass Cot Ba'U Kecamatan Suka Jaya,Sabang
Sekolah Tinggi Ilmu Ekonomi Syariah Serambi Mekkah Aceh Jaya,Nan,Nan
Sekolah Tinggi Ilmu Ekonomi Nasional Samarinda,Jalan W R Soepratman No 10,Samarinda
Stai Darul Kamal Nw Kembang Kerang Ntb,Jalan Segara Anak Km. 02 . Kembang Kerang Kec. Aikmel,Kutai Timur
Universitas Patria Artha,"Jl. Tun Abdul Razak (Hertasning Baru, Poros Makassar-Gowa",Gowa
Akademi Kebidanan Medika Anugerah Tasya,Aceh Tamiang Kuala Simpang,Nan
Institut Teknologi Lombok,Nan,Lombok Timur
Stkip Muhammadiyah Kotabumi,Jalan Hasan Kepala Ratu Km 3 Sindangsari,Nan
Stai Tafaqquhfiddin Dumai,"Jalan Utama Karya No. 3 Bukit Batrem Ii, Dumai Timur Kota Dumai Riau",Nan
Universitas Islam Negeri Sjech M. Djamil Djambek Bukittinggi,Jln. Raya Gurun Aur Kubang Putiah Kec. Banuhampu,Bukittinggi
Akademi Refraksi Optisi Binalita Sudama,Jl Gedung Pbsi Pasar V Medan Estate,Nan
Stai Syarifuddin (Stais) Lumajang Jawa Timur,Jl. Pondok Pesantren Kyai Syarifuddin Wonorejo Kedungjajang Lumajang Jawa Timur,Nan
Politeknik Kesdam Vi Banjarmasin,Nan,Banjarmasin
Universitas Madako Tolitoli,Jalan Madako No 1,Toli Toli
Universitas Islam Negeri Sumatera Utara Medan,--,Medan
"Stai Tapanuli (Staita) Padangsidempuan, Sumatera Utara",-,Padangsidimpuan
Stkip Hermon Timika,Nan,Mimika
Akademi Kebidanan Assyifa Tangerang,Jalan Dr Sitanala No 75,Tangerang
Universitas Bina Bangsa,Jl. Raya Serang-Jakarta Km 03 (Pakupatan),Natuna
Sekolah Tinggi Ilmu Kesehatan Makassar,Jalan Maccini Raya No 197,Toraja Utara
Stain Sjech M. Djamil Djambek Bukittinggi,Jln. Raya Gurun Aur Kubang Putih,Bukittinggi
Sekolah Tinggi Teologi Mawar Saron Lampung,"Jl. Cimangguk Blok A, Ujung Gunung Ilir, Menggala, Tulang Bawang, Lampung.",Lampung Utara
Akademi Bisnis Martha Tilaar,Nan,Nan
Universitas Sumatera Selatan,Nan,Palembang
Stmik Kreatindo Manokwari,Jl. Kebun Cengkeh Perumahan Irman Jaya Bumi Marina Asri,Manokwari
Universitas Gunung Leuser Aceh,Jalan Iskandar Muda No 1 Kotacane,Aceh Tenggara
Stie Unisadhuguna,Jalan Rs Fatmawati No 52 Cilandak Barat,Nan
Sekolah Tinggi Ilmu Kesehatan Bethesda Yakkum,Jl. Johar Nurhadi No. 6,Yogyakarta
Akademi Analis Kesehatan Pekalongan,Jalan Raya Ade Irma Suryani No. 06 Tirto Pekalongan,Pekalongan
Iain Purwokerto,Jl. Jenderal A. Yani No. 40 A Purwokerto Banyumas Jawa Tengah,Banyumas
Sekolah Tinggi Teknologi Gempol,"Jl Cempaka Putih No 8, Gempol",Pasuruan
Akademi Kesehatan Dharma Husada Kediri,Nan,Kediri
Universitas Muhammadiyah Luwuk,Jalan Kh Ahmad Dahlan No 79,Banggai
Universitas Muhammadiyah Surabaya,Jalan Sutorejo 59,Surabaya
Sekolah Tinggi Ilmu Kesehatan Imelda,Jalan Bilal No 24,Nan
Institut Ilmu Sosial Dan Bisnis Andi Sapada,"Jalan H. Andi Sapada No. 11, Kelurahan Sumpang Minangae",Pare Pare
Universitas Pakuan,Jalan Pakuan No.1 Ciheuleut,Bogor
Akademi Keperawatan Maranatha Groups,Jalankampung Bajawa Nasipanaf- Baumata Barat Kabupaten Kupang- Ntt,Kupang
Institut Pesantren Kh. Abdul Chalim Pacet Mojokerto,Jl. Tirtowening No. 17 Ds. Bendunganjati Kec. Pacet Kab Mojokerto,Mojokerto
Akper Pemkot Tanjung Balai,,Nan
Universitas Malahayati,"Jalan Pramuka No 27, Kemiling",Bandar Lampung
Sekolah Tinggi Ilmu Kesehatan Bethesda Tomohon,Nan,Tomohon
Sekolah Tinggi Teologi Musafir Kupang,Nan,Berau
Sekolah Tinggi Teologi Pantekosta Jakarta,"Kampus C Trisakti, Lantai 3 Jl. Jend. A.Yani Kav. 85 Rawasari, Jakarta Timur 13",Administrasi Jakarta Utara
Poltekkes Kemenkes Bengkulu,Jalan Indra Giri No. 3 Padang Harapan,Nan
Sekolah Tinggi Ilmu Pertanian Dharma Wacana,Jalan Kenanga No 3 Mulyojati 16C Kota Metro,Metro
Akademi Perpajakan Maria Mediatrix,Jl Pinus Ii No 1 Pondok Rejeki,Tangerang
Institut Agama Islam Az-Zaytun Indonesia,"Kampus Iai Alazis, Kecamatan Gantar, Kabupaten Indramayu, Indonesia",Indramayu
Akademi Komunitas Favorit Samarinda,Nan,Kutai Kartanegara
Akademi Keperawatan Pemkab Asahan Kisaran,Jl. Latsitarda Nusantara Viii Kisaran,Nan
Politeknik Batu,Nan,Nan
Stai Kh Abdul Kabier,Jl. Kh. Abdul Kabier Km. 02 Kubang Petir Serang,Nan
Akademi Kebidanan Pemprov Bali Singaraja,Jalan Bisma Barat No 25A Singaraja,Nan
Universitas Mandiri,Jalan Marsinu No. 5 Tegal Kalapa-Subang,Subang
Stikes Lakipadada,Jalan Pongtiku No 39,Nan
Sekolah Tinggi Ilmu Tarbiyah Tunas Bangsa Banjarnegara Jawa Tengah,Jalan S. Parman No. 11 Rt.001 Rw. 07 Kel. Semarang Kecamatan Banjar Negara Kabup,Banjarnegara
Institut Agama Islam Nusantara Batang Hari,"Jalan Gajah Mada Kelurahan Teratai, Kecamatan Muara Bulian, Kabupaten Batang Hari, Propinsi Jambi",Batanghari
Stkip Pgri Blitar,Jalan Kalimantan No 111,Nan
Akademi Manajemen Informatika Dan Komputer Wahana Mandiri,Jalan Pramuka Raya Kavling 06,Nan
Universitas Islam Majapahit,Jalan Raya Jabon Mojokerto,Mojokerto
Institut Agama Islam Ibrahimy (Iaii) Sukorejo Situbondo,Jl. Khr. Syamsul Arifin 1-2 Po. Box. 2 Sukorejo Sumberejo Banyuputih,Nan
Politeknik Pengadaan Nasional,Nan,Nan
Asmi Citra Nusantara,Jl. Soetoyo S No. 197 Teluk Dalam Banjarmasin,Banjarmasin
"Stai Ypk Imam Bonjol Padang Panjang, Sumatera Barat","Jln. Abdul Hamid Hakim No. 2 Kelurahan Pasar Usang Kota Padang Panjang, Sumatera",Padang Panjang
Institut Teknologi Dan Sains Nahdlatul Ulama Sriwijaya Sumatera Selatan,Nan,Palembang
Stiba Ar Raayah,"Jl. Perintis Kemerdekaan Rt.01/ Rw.05, Kp. Cimenteng, Desa Sukamulya, Kec. Cikem",Sukabumi
Stai Madinatul Ilmi Depok,"Jln. Kampus (Pakis) Raya Sawangan, Rangkapan Jaya Baru Pancoran Mas",Tangerang
Akademi Farmasi Nasional Surakarta,Jalan Yos Sudarso 338,Nan
Stkip Yayasan Abdi Pendidikan,Prof. M. Yamin Payakumbuh,Payakumbuh
Sekolah Tinggi Teknologi Banten,"Jalan Taman Surya Buana B-11, Jl. Kh Wahid Hasyim",Tangerang Selatan
Politeknik Negeri Ujung Pandang,Jl Perintis Kemerdekaan Km 10 Tamalanrea,Makassar
Akademi Kesehatan Asih Husada,Jl.Mukharom 01 Tegalkangkung Kedungmundu Semarang,Semarang
Sekolah Tinggi Teknologi Indonesia Tanjung Pinang,Jl. Brigjend. Katamso No. 92 Km 2.5,Tanjung Pinang
Sekolah Tinggi Teologi Presbyterian Batam,,Batam
Akademi Kebidanan Payung Pelalawan,Pangkalan Kerinci,Pelalawan
Akademi Kebidanan Pgri Kediri,Jl. K.H. Ahmad Dahlan 76,Nan
Stid Al-Hadid Surabaya,"Jalan Kejawan Putih Tambak No. 80 Surabaya, Kode Pos 60113",Nan
Universitas Dharma Aub Surakarta,Nan,Surakarta
Politeknik Kutaraja,Nan,Banda Aceh
Stie Graha Karya Muara Bulian,Jl Gajah Mada Kampus Teratai,Batanghari
Sekolah Tinggi Agama Islam Indonesia Jakarta,Jl. I Gusti Ngurah Rai No. 39 Bulak Klender,Administrasi Jakarta Timur
Universitas Muslim Maros,Jalan Dr Ratulangi No 62,Maros
Politeknik Negeri Indramayu,Jl. Raya Lohbener Lama No.8,Indramayu
Universitas Pgri Silampari,Nan,Lubuk Linggau
Stai Diponegoro Tulungagung,Jl. Ra. Kartini No. 47,Tulungagung
Sekolah Tinggi Ilmu Hukum Asy-Syafi Iyah Medan,Nan,Medan
Stie Pasim Sukabumi,Sukabumi,Nan
Politeknik Penerbangan Medan,Nan,Medan
Akademi Kebidanan Bhakti Mulia,Sukoharjo,Nan
Stmik U Budiyah Indonesia,Komplek Kampus Tibang,Nan
Universitas Widya Dharma Pontianak,"Jl. Hos Cokroaminoto Gg. Palem No.16, Darat Sekip",Pontianak
Sekolah Tinggi Ilmu Tarbiyah Tanggamus,"Jl. Break Maeyer Landbaw Pekon Kutadalom, Kecamatan Gisting, Kabupaten Tanggamus, Provinsi Lampung",Nan
Universitas Medika Suherman,"Jalan Raya Industri Pasir Gombong Cikarang-Bekasi, Kecamatan Cikarang Utara, Kabupaten Bekasi",Bekasi
Politeknik Gajah Sakti,Jl Natuna 22 Hadimulyo Barat,Nan
Sekolah Tinggi Ilmu Administrasi Pembangunan Palu,Jalan Nuri No 18,Palu
Universitas Bandung,Nan,Bandung
Institut Agama Islam Khozinatul Ulum Blora,Nan,Blora
Sekolah Tinggi Ilmu Kesehatan Khas Kempek,Nan,Cirebon
Politeknik Geologi Dan Pertambangan Agp,Jl. Sulaksanan No. 21 Bandung,Bandung
Stis Darul Falah Pagutan Mataram Ntb,-,Mataram
Politeknik Negeri Batam,"Kampus Politeknik Negeri Batam Parkway Street, Batam Center",Batam
Stain Teungku Dirundeng Meulaboh,-,Aceh Barat
Akademi Kesehatan Rustida,Jln. Rsu. Bhakti Husada Krikilan Kecamatan Glenmore Kabupaten Bayuwangi,Banyuwangi
Akademi Pariwisata Ypag Makassar,Jalan Batua Raya 7 No 21,Nan
Akademi Farmasi Kusuma Husada Purwokerto,Jalan Soeparjo Roestam No 170 Sokaraja,Banyumas
Sekolah Tinggi Ilmu Ekonomi Sutaatmadja,Jl Otto Iskandardinata No 76,Nan
Sekolah Tinggi Ilmu Keguruan Dan Ilmu Pendidikan Terang Bangsa,Nan,Mimika
Universitas Teknologi Yogyakarta,Jalan Ring Road Utara Jombor Sleman,Sleman
Stisip Setia Budhi,Jalan Budi Utomo No 22-L Komp Pendidikan Rangkasbitung,Lebak
Sekolah Tinggi Ilmu Bahasa Asing Invada,Jalan Brigjen Darsono No 20 By Pass Cirebon,Nan
Akademi Ilmu Gizi Ypag Makassar,Jalan Batua Raya Vii No 21,Makassar
Stia Bina Banua Banjarmasin,Jalan Pramuka No 17 Km 6,Banjarmasin
Sekolah Tinggi Psikologi Yogyakarta,Graha Pogung Lor Jl. Ringroad Utara Pogung Yogyakarta,Yogyakarta
Akademi Keperawatan Malahayati Medan,Jl. Cenderawasih No. 161 Sei- Sikambing B Medan,Medan
Politeknik Kesehatan Bhakti Mulia,Jl. Raya Solo - Sukoharjo Km.09 Sukoharjo,Kepulauan Talaud
Akademi Keperawatan Sari Husada,Nan,Nan
Akademi Kesehatan Sumenep,Nan,Sumenep
Akademi Keperawatan Surya Nusantara,Jalan Rakutta Sembiring,Nan
Sekolah Tinggi Ilmu Ekonomi Enam Enam Kendari,Jalan Bunga Kamboja No 79 Kemaraya,Morowali
Sekolah Tinggi Ilmu Ekonomi Syariah Putera Bangsa Tegal Jawa Tengah,Jalan Ampera No. 37 Rt. 04/04 Pagongan Dukuhturi Tegal No. 50,Tegal
Akademi Keperawatan Malahayati Bandar Lampung,"Jl Pramuka No 27, Kemiling",Nan
Institut Teknologi Dan Bisnis Widya Gama Lumajang,Nan,Lumajang
Politeknik Sandi Karsa,"Jl. Bung No.37, Tamalanrea Jaya",Makassar
Sekolah Tinggi Pariwisata Bali Internasional,"Jalan Tari Kecak Jl. Gatot Subroto Tim. No.12, Tonja",Denpasar
Stkip Pamane Talino,"Jalan Pangeran Cinata, Kecamatan Ngabang Kab Landak",Melawi
Sekolah Tinggi Ekonomi Dan Bisnis Islam Darussalam Ogan Komering Ilir Sumsel,Jalan Lintas Timur Km 135 Tugumulyo Lempuing Ogan Komering Ilir Sumaera Selatan,Ogan Komering Ilir
Sekolah Tinggi Teologi Kalvari Maluku Utara,Jl. Trans Halmahera Desa Tibobo Kec. Sahu Timur Kabupaten Halmahera Barat Prov. Maluku Utara,Halmahera Barat
Akademi Keperawatan Husada Karya Jaya,Jl. Sunter Permai Raya Sunter Agung Podomoro,Administrasi Jakarta Utara
Akademi Keperawatan William Booth Surabaya,Jalan Cimanuk No 20,Nan
Akademi Teknik Dan Keselamatan Penerbangan Medan,"Jl. Penerbangan No. 85 Jamin Ginting Km 8,5 Medan, Sumatera Utara, Indonesia",Medan
Akademi Kesehatan Yayasan Sapta Bakti Bengkulu,Bengkulu,Nan
Sekolah Tinggi Ilmu Hukum Amsir,Jl. H. Andi Sapada No. 11 Sumpang Minangae Parepare Sul-Sel,Pare Pare
Universitas Trunojoyo,Jalan Raya Telang Po. Box 2 Kamal,Bangkalan
Sekolah Tinggi Agama Kristen Imanuel Bitung,"Jalan Samratulangi Kelurahan Bitung Barat Dua, Kecamatan Maesa",Nan
Universitas Pertamina,"Jalan Teuku Nyak Arief, Simprug, Kecamatan Kebayoran Lama",Administrasi Jakarta Selatan
Politeknik Pariwisata Lombok,Nan,Nunukan
Universitas Kristen Immanuel,Jalan Solo Km 11,Klaten
Stmik Likmi,Jalan Ir H Juanda No 96,Nan
Iain Tulungagung,-,Tulungagung
Stikes Muhammadiyah Bojonegoro,"Jl. Teuku Umar, No.48 B",Bojonegoro
Akademi Kebidanan Ar-Rum Salatiga,Jalan Soekarno Hatta No 10,Nan
Akademi Keperawatan Imelda Medan,Jalan Bilal No 24 Pangkalan Brayan Darat,Nan
Sekolah Tinggi Ilmu Kesehatan Lenggogeni Padang,Nan,Karawang
Universitas Pasifik Morotai,Morotai Maluku Utara,Pulau Morotai
Sekolah Tinggi Teologi Injili Arastamar Tapanuli (Stt Siarnauli),"Jln. Perintis Kemerdekaan, Kel. Aek Tolang, Kecamatan Pandan, Kabupaten Tapanuli",Tapanuli Tengah
Sekolah Tinggi Teologi Syalom Bandar Lampung,"Po.Box 18 Pringsewu 35373 Jl. Raya Fajar Agung Km.4, Pringsewu, Lampung, Indone",Bandar Lampung
Amik Parbina Nusantara,Jalan Pane No. 34 Kel. Kebun Sayur Kec. Siantar Timur,Pematangsiantar
Akademi Farmasi Persada Sukabumi,Nan,Sukabumi
Universitas Satya Terra Bhinneka,Jl. Sunggal Gg. Bakul Lingkungan Xi Pekan I Sunggal,Medan
Stt Arastamar Wamena,"Jl. Trikora No. 8, Rt/Rw 006/003, Kel. Wamena Kota, Dist. Wamena",Mappi
Stit Ibnu Rusyd Kota Bumi Lampung Utara,"Jl Sukarno Hatta Nomor 65 Kotabumi Lampung Utara , Lampung",Nan
Stikes Borneo Cendekia Medika,Jl. Sultan Syahrir No. 11 Pangkalan Bun,Kotawaringin Barat
Amik Al-Muslim Bekasi,Jalan Raya Setu Kampung Bahagia Tambun,Bekasi
Politeknik Energi Dan Pertambangan Bandung,Jl. Jend. Sudirman No. 623 Bandung 40211,Bandung
Sekolah Tinggi Komputer Al Ma Soem,Jalan Raya Cileunyi No 22 Jatinangor,Sumedang
Sekolah Tinggi Teknik Ypm Sepanjang,Jl Raya Ngelom 86 Sepanjang,Nan
Universitas Ma'Arif Nahdlatul Ulama Kebumen,"Jalan Kusuma No. 75 Kebumen, Jawa Tengah",Kebumen
Akademi Keperawatan Panti Kosala,"Jln. Raya Solo-Baki Km. 4 Gedangan Solo Baru, Grogol Sukoharjo",Sukoharjo
Universitas Logistik Dan Bisnis Internasional,"Jl. Sariasih No. 54 Sarijadi, Kec. Sukasari",Nan
Akademi Pariwisata Nasional Banjarmasin,Jalan Mayjend Soetoyo S No 126,Banjarmasin
Politeknik Kepulauan Simeulue,Nan,Simeulue
Stt Rhema Salatiga,"Alamat Lokasi: Dusun Piji Rt:09 Rw:05, Sumogawe, Kecamatan Getasan, Kabupaten Se",Nan
Universitas Kebangsaan,Jalan Terusan Halimun No 37 Bandung,Bandung
Institut Ilmu Sosial Dan Manajemen Stiami,"Jl. Pangkalan Asem Raya No. 55, Jakarta",Administrasi Jakarta Pusat
Akademi Manajemen Koperasi Tantular,Jl Mayjen Panjaitan No 12,Madiun
Akademi Keperawatan Totabuan Kotamobagu,Jalan Kesatria,Kotamobagu
Stikes Patria Husada,Jalan Sudanco Supriyadi 168 Blitar,Nan
Akademi Kebidanan Makariwo,Jalan Carlen Karioseh Desa Linainopitu,Nan
Politeknik Industri Petrokimia Banten,Nan,Serang
Universitas Akprind Indonesia,Jalan Kalisahak No 28 Komplek Balapan,Yogyakarta
Akademi Manajemen Informatika Dan Komputer Imelda,Jl.Bilal No.24 Pulo Brayan Darat I Kec.Medan Timur Jl. K.L Yos Sudarso No.45 Ab,Nan
Akademi Kebidanan Manna,Jl Fatmawati Soekarno Manna,Bengkulu Selatan
Iain Raden Fatah Palembang,,Nan
Institut Kesehatan Dan Teknologi Bisnis Menara Bunda Kolaka,Nan,Nan
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Persada Evav Tual,Nan,Tual
Sekolah Tinggi Ilmu Ekonomi Al-Anwar,"Jl Raya Brangkal 70, Sooko",Mojokerto
Sekolah Tinggi Ilmu Hukum Painan,"Jl. K.H Hasyim Azhari Kav. Dpr Nerogtok No. 236 Pinang Tangerang, Banten , Indo",Nan
Sekolah Tinggi Ilmu Kesehatan Jayakarta,"Jalan Raya Pkp Kelapa Dua Wetan, Ciracas, Jakarta Timur",Nan
Akademi Kebidanan Bandung,"Jl. Raya Pemda No. 92 Pasir Jambu, Kec. Sukaraja",Bogor
Sekolah Tinggi Ilmu Dakwah Dan Komunikasi Al-Hamidy Pamekasan,-,Pamekasan
Sekolah Tinggi Ilmu Kesehatan Cikarang,Jl Raya Industri Pasir Gombong Jababeka,Nan
Akademi Manajemen Informatika Dan Komputer Bogor,Jalan K.H. Sholeh Iskandar No. 3 Bogor,Bogor
Akademi Keperawatan Rs Dustira,Jalan Dustira No 1 Cimahi,Natuna
Universitas Bina Sarana Informatika,"Kampus Kramat 98 Jl. Kramat Raya No.98, Senen, Jakarta Pusat 10450 Tlp. (021) 23231170, Fax. (021) 21236158",Administrasi Jakarta Pusat
Universitas Sutomo,Jl. Sutomo Ujung No. 28 D Medan - Indonesia,Nan
Sekolah Tinggi Bahasa Asing Malang,"Jl Terusan Danau Sentani 97 Sawojajar, Malang, Jawa Timur",Malang
Sekolah Tinggi Pesantren Darunna'Im Lebak Banten,Jl. Raya Leuwidamar Km. 05 Kp. Cirende Ds. Kalanganyar Kec. Kalanganyar Kab. Leb,Lebak
Sekolah Tinggi Ilmu Hukum Ichsan Gorontalo Utara,Nan,Nan
Akademi Bahasa Asing Umi Makassar,Kakatua No 27,Nan
Stikes Buana Husada Ponorogo,"Jl. Mayjend Sutoyo No.12 Kertosari, Babadan,Ponorogo",Ponorogo
Sekolah Tinggi Agama Kristen Terpadu Pesat Salatiga,Dusun Lopait Rt 09 Rw 01 Desa Lopait Kec. Tuntang Kab. Semarang Po Box A24 Salat,Semarang
Akademi Kebidanan Bhakti Pertiwi Pemalang,Jalan Ahmad Yani No 48,Nan
Institut Agama Islam Badrus Sholeh,Nan,Nan
"Stis Syarif Abdurrahman Pontianak, Kalimantan Barat",Jalan Sungai Raya Dalam Nomor 16B,Nan
Akademi Perekam Medis & Informatika Kesehatan Bandung,Jalan Wr. Supratman No.100 Blk,Bandung
Institut Kesehatan Indonesia,Jl. Bulevard Barat Raya,Administrasi Jakarta Utara
Universitas Baiturrahmah,Jalan Raya By Pass Km 15 Air-Pacah,Padang
Stit Bustanul `Ulum Lampung Tengah,Jl. Kawista No. 15. Rt/Rw. 006/001. Jayasakti Kec. Anak Tuha Kab. Lampung Tenga,Lampung Tengah
Akademi Manajemen Rumah Sakit Kusuma Husada,Jalan Soeparjo Roestam No 170,Banyumas
Sekolah Tinggi Farmasi Mahaganesha,Jalan Tukad Barito Timur No. 57 Denpasar,Denpasar
Sekolah Tinggi Ilmu Ekonomi Ibmt,Jl Raya Kupang Baru No 8,Nan
Politeknik Surakarta,Jalan Pakel No 66 Sumber,Nan
Sekolah Tinggi Teologi Marturia Tanjung Balai,,Tanjung Balai
Sekolah Tinggi Manajemen Informatika Komputer Lamappapoleonro Soppeng,Jalan Ksatria No 56,Soppeng
Stmik Himsya,Jalan Raya Karanganyar Tugu Km 12 No 58,Nan
Stt Biblika Jakarta,,Administrasi Jakarta Utara
Stit Ypi Lahat,Jl. Letnan Munandar Talang Kapuk,Lahat
Sekolah Tinggi Ilmu Ekonomi Yai,Jalan Kramat Raya No 98,Administrasi Jakarta Pusat
Akademi Keperawatan Pemkab Ketapang,Jl. Dr. Soetomo No. 65 Ketapang,Nan
Akademi Farmasi Prayoga Padang,Jalan Sudirman No. 50,Padang
Stkip Yapim Maros,Jalan Dr Ratulangi No 62 Maros Kabupaten Maros Makassar,Maros
Akademi Kebidanan Sempena Negeri Pekanbaru,Jl Soekarno Hatta / Handayani I No. 1 Pekanbaru,Pekanbaru
Politeknik Piksi Ganesha Indonesia,Nan,Kebumen
Sekolah Tinggi Ilmu Kesehatan Tana Toraja,Jalan Pontiku No 220 Rantepao,Toraja Utara
Politeknik Perkapalan Negeri Surabaya,Jalan Teknik Kimia Kampus Its Sukolilo,Surabaya
Sekolah Tinggi Keguruan Dan Ilmu Pendidikan Padang Lawas,Alamat: Jl. Ki Hajar Dewantara (Komplek Muhajirin) Pasar Sibuhuan Kab. Padang La,Padang Lawas
Sekolah Tinggi Teologi Kadesi Yogyakarta,Jln Kaliurang Dsn. Weron Balong-Umbulhari-Cangkringan Sleman Yogyakarta,Sleman
Sekolah Tinggi Agama Islam Senori Tuban,Nan,Tuban
Sekolah Tinggi Ilmu Ekonomi Indonesia Medan,Jl. Ringroad Gagak Hitam Psr 2 No.98. Kel. Tanjungsari,Medan
Sekolah Tinggi Teologi Bethel Nusantara,"Jl. Pemuda No.65, Rt/Rw 01/08, Jati",Nan
Stkip Hatta Sjahrir,Banda Naira,Maluku Tengah
Politeknik Perdamaian Halmahera,Jln. Raya Tobelo-Galela Desa Wari Ino Kecamatan Tobelo,Halmahera Utara
Stmik Bina Nusantara Jaya Lubuk Linggau,Jalan Yos Sudarso No. 97 A Kota Lubuklinggau,Nan
Institut Ilmu Kesehatan Medika Persada Bali,"Jalan Seroja Gang Jeruk, Kel. Tonja",Denpasar
Universitas Islam Madura,Kompleks Pp Miftahul Ulum Bettet,Pamekasan
Akademi Keperawatan Lapatau Bone,Jalan M H Thamrin No 5,Wajo
Akademi Kebidanan Sakinah,Desa Pukul Kecamatan Kraton Kabupaten Pasuruan,Pasuruan
Stie Indonesia Banking School,Jalan Kemang Raya No 35,Administrasi Jakarta Selatan
Stikes Yayasan Rs. Dr. Soetomo,Jl. Karangmenjangan 12,Surabaya
Stmik Sinar Nusantara,Jalan Kh Samanhudi No 84-86,Surakarta
Akademi Keperawatan Pemkab Pamekasan,Jl. Jokotole Indah (Belakang Sman 2) Pamekasan,Nan
Stia Bala Putra Dewa,Nan,Palembang
Universitas Lancang Kuning,"Jalan Yos Sudarso Km 8 Rumbai, Pekanbaru, Riau, Indonesia",Pekanbaru
Amik Bukittinggi,Jl Birugo Bungo No 137 Bukittinggi,Agam
Universitas Trunajaya Bontang,Jl.Taekwondo I Rt.9 No.55 Kelurahan Api-Api Kecamatan Bontang Utara Kota Bontang,Bontang
Akademi Kebidanan Bakti Inang Persada,Jl T B Simatupang No 31 Kampung Lalang Pinang Baris,Nan
Stikes Delima Persada Gresik,Jl. Proklamasi No. 54,Gresik
Sekolah Tinggi Ilmu Kesehatan Abdi Nusa,Jalan Kacang Pedang No 1,Pangkal Pinang
Sekolah Tinggi Ilmu Ekonomi Dwimulya,"Jl. Kav. Sindangsari Permai Blok B1, Kec Pabuaran",Serang
Universitas Darul Ulum,Jln. Kh. Abdurrahman Wahid (Gus Dur) 29A (Ex. Jln. Merdeka),Jombang
Stisipol Dharma Wacana,Jalan Kenanga No 3 Kelurahan Mulyojati 16-C,Metro
Akademi Kebidanan Langkat,Jl T Putra Azis No 2,Langkat
Akademi Sekretari Dan Manajemen Persada Bunda,Jalan Diponegoro No 42,Pekanbaru
Stai Al-Musaddadiyah Garut,Jalan Mayor Syamsu No. 2 Jayaraga Tarogong Kidul,Garut
Stai Al-Ihya Kuningan,Jalan Mayasih Nomor 11 Kelurahan Cigugur Kecataman Kuningan Kabupaten Kuningan J,Nan
Stkip Pgri Situbondo,Jalan Argopuro Vii,Situbondo
Universitas Al-Azhar,"Jalan Pintu Air Iv No. 214 Kwala Bekala, Padang Bulan",Bulungan
Stmik Eresha,"Jalan Haji Samali No 51, Kalibata",Tangerang Selatan
Akademi Kebidanan An-Nur Husada Walisongo,Jalan Ridho 03 Dewamulya Kalibalangan Abung Selatan Lampung Utara,Lampung Utara
Stmik Tunas Bangsa,"Jalan Za. Pagar Alam No. 17A Rajabasa, Bandat Lampung",Bandar Lampung
Akademi Teknik Pembangunan Nasional,Jalan Ir P M Noor No 10,Banjarbaru
"Stai Miftahul Ula Nglawak Kertosono, Nganjuk",Jln. Kh. Abdul Fattah Nglawak Kertosono Nganjuk,Nganjuk
Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa,Jalan Sei Serayu No 80 Setia Budi Medan,Nan
"Stit Iqra` Kapuas Hulu, Kalimantan Barat",-,Nan
Sekolah Tinggi Teknologi Duta Bangsa,Jalan Kalibaru Timur Kec Bekasi Barat,Bekasi
Institut Teknologi Petroleum Balongan,Nan,Nan
Universitas Aisyiyah Yogyakarta,Jalan Ring Road Barat No. 63 Mlangi Nogotirto,Natuna
Institut Kesehatan Payung Negeri Pekanbaru,Nan,Nan
Stiba Bumi Gora Mataram,Jalan Ismail Marzuki Mataram,Mataram
